round,question_id,answer_id,question_type,question,answer,num_vote,num_char,num_music,num_cp,num_doujin,num_male,num_female,source_file
10,11011,1101101,Single,您的性别是？（填写的信息仅用于数据分析，不会以任何形式披露投票者个人信息）,男,21541,19803,14737,14375,2012,21541,0,data_raw/cn_official/round_10/conditions/q11011_a1101101.json
10,11011,1101102,Single,您的性别是？（填写的信息仅用于数据分析，不会以任何形式披露投票者个人信息）,女,4166,3715,2705,3008,238,0,4166,data_raw/cn_official/round_10/conditions/q11011_a1101102.json
10,11021,1102101,Single,您现在的主要所在地区为？,国内（含港澳台）,25096,22968,17035,16980,2159,21080,4016,data_raw/cn_official/round_10/conditions/q11021_a1102101.json
10,11021,1102102,Single,您现在的主要所在地区为？,国外,610,550,407,403,91,461,149,data_raw/cn_official/round_10/conditions/q11021_a1102102.json
10,11031,1103101,Single,您现在的最主要所在地是哪个省级行政区？,北京,1253,1142,855,842,121,1016,237,data_raw/cn_official/round_10/conditions/q11031_a1103101.json
10,11031,1103102,Single,您现在的最主要所在地是哪个省级行政区？,天津,544,484,344,343,42,441,103,data_raw/cn_official/round_10/conditions/q11031_a1103102.json
10,11031,1103103,Single,您现在的最主要所在地是哪个省级行政区？,河北,976,883,643,655,81,832,144,data_raw/cn_official/round_10/conditions/q11031_a1103103.json
10,11031,1103104,Single,您现在的最主要所在地是哪个省级行政区？,山西,320,295,205,215,15,286,34,data_raw/cn_official/round_10/conditions/q11031_a1103104.json
10,11031,1103105,Single,您现在的最主要所在地是哪个省级行政区？,内蒙古,217,199,156,152,14,184,33,data_raw/cn_official/round_10/conditions/q11031_a1103105.json
10,11031,1103106,Single,您现在的最主要所在地是哪个省级行政区？,辽宁,697,639,462,455,51,581,116,data_raw/cn_official/round_10/conditions/q11031_a1103106.json
10,11031,1103107,Single,您现在的最主要所在地是哪个省级行政区？,吉林,315,291,211,205,17,264,51,data_raw/cn_official/round_10/conditions/q11031_a1103107.json
10,11031,1103108,Single,您现在的最主要所在地是哪个省级行政区？,黑龙江,460,423,313,310,40,390,70,data_raw/cn_official/round_10/conditions/q11031_a1103108.json
10,11031,1103109,Single,您现在的最主要所在地是哪个省级行政区？,上海,1579,1434,1098,1076,184,1272,307,data_raw/cn_official/round_10/conditions/q11031_a1103109.json
10,11031,1103110,Single,您现在的最主要所在地是哪个省级行政区？,江苏,2040,1864,1362,1341,186,1742,298,data_raw/cn_official/round_10/conditions/q11031_a1103110.json
10,11031,1103111,Single,您现在的最主要所在地是哪个省级行政区？,浙江,1812,1680,1226,1231,156,1575,237,data_raw/cn_official/round_10/conditions/q11031_a1103111.json
10,11031,1103112,Single,您现在的最主要所在地是哪个省级行政区？,安徽,881,803,631,613,85,763,118,data_raw/cn_official/round_10/conditions/q11031_a1103112.json
10,11031,1103113,Single,您现在的最主要所在地是哪个省级行政区？,福建,1094,1005,743,761,76,917,177,data_raw/cn_official/round_10/conditions/q11031_a1103113.json
10,11031,1103114,Single,您现在的最主要所在地是哪个省级行政区？,江西,746,691,515,517,50,648,98,data_raw/cn_official/round_10/conditions/q11031_a1103114.json
10,11031,1103115,Single,您现在的最主要所在地是哪个省级行政区？,山东,1443,1318,957,964,118,1225,218,data_raw/cn_official/round_10/conditions/q11031_a1103115.json
10,11031,1103116,Single,您现在的最主要所在地是哪个省级行政区？,河南,981,892,649,648,73,840,141,data_raw/cn_official/round_10/conditions/q11031_a1103116.json
10,11031,1103117,Single,您现在的最主要所在地是哪个省级行政区？,湖北,1173,1077,789,808,87,996,177,data_raw/cn_official/round_10/conditions/q11031_a1103117.json
10,11031,1103118,Single,您现在的最主要所在地是哪个省级行政区？,湖南,862,784,580,587,69,716,146,data_raw/cn_official/round_10/conditions/q11031_a1103118.json
10,11031,1103119,Single,您现在的最主要所在地是哪个省级行政区？,广东,3233,2977,2235,2224,328,2693,540,data_raw/cn_official/round_10/conditions/q11031_a1103119.json
10,11031,1103120,Single,您现在的最主要所在地是哪个省级行政区？,广西,897,820,621,614,67,710,187,data_raw/cn_official/round_10/conditions/q11031_a1103120.json
10,11031,1103121,Single,您现在的最主要所在地是哪个省级行政区？,海南,160,147,115,111,14,135,25,data_raw/cn_official/round_10/conditions/q11031_a1103121.json
10,11031,1103122,Single,您现在的最主要所在地是哪个省级行政区？,重庆,608,555,400,408,46,506,102,data_raw/cn_official/round_10/conditions/q11031_a1103122.json
10,11031,1103123,Single,您现在的最主要所在地是哪个省级行政区？,四川,1181,1092,803,801,107,972,209,data_raw/cn_official/round_10/conditions/q11031_a1103123.json
10,11031,1103124,Single,您现在的最主要所在地是哪个省级行政区？,贵州,240,221,153,157,17,204,36,data_raw/cn_official/round_10/conditions/q11031_a1103124.json
10,11031,1103125,Single,您现在的最主要所在地是哪个省级行政区？,云南,266,239,180,183,19,231,35,data_raw/cn_official/round_10/conditions/q11031_a1103125.json
10,11031,1103126,Single,您现在的最主要所在地是哪个省级行政区？,西藏,10,10,6,7,0,9,1,data_raw/cn_official/round_10/conditions/q11031_a1103126.json
10,11031,1103127,Single,您现在的最主要所在地是哪个省级行政区？,陕西,572,509,403,388,45,488,84,data_raw/cn_official/round_10/conditions/q11031_a1103127.json
10,11031,1103128,Single,您现在的最主要所在地是哪个省级行政区？,甘肃,117,101,83,77,12,103,14,data_raw/cn_official/round_10/conditions/q11031_a1103128.json
10,11031,1103129,Single,您现在的最主要所在地是哪个省级行政区？,青海,22,19,16,14,2,19,3,data_raw/cn_official/round_10/conditions/q11031_a1103129.json
10,11031,1103130,Single,您现在的最主要所在地是哪个省级行政区？,宁夏,41,38,25,27,3,31,10,data_raw/cn_official/round_10/conditions/q11031_a1103130.json
10,11031,1103131,Single,您现在的最主要所在地是哪个省级行政区？,新疆,150,142,106,104,10,124,26,data_raw/cn_official/round_10/conditions/q11031_a1103131.json
10,11031,1103132,Single,您现在的最主要所在地是哪个省级行政区？,台湾,77,71,59,58,10,65,12,data_raw/cn_official/round_10/conditions/q11031_a1103132.json
10,11031,1103133,Single,您现在的最主要所在地是哪个省级行政区？,香港,106,101,79,74,11,81,25,data_raw/cn_official/round_10/conditions/q11031_a1103133.json
10,11031,1103134,Single,您现在的最主要所在地是哪个省级行政区？,澳门,23,22,12,10,3,21,2,data_raw/cn_official/round_10/conditions/q11031_a1103134.json
10,11032,1103201,Single,您现在的主要所在地位于哪个地区？,日本,132,113,71,74,9,89,43,data_raw/cn_official/round_10/conditions/q11032_a1103201.json
10,11032,1103202,Single,您现在的主要所在地位于哪个地区？,亚洲其他地区,139,123,82,88,14,111,28,data_raw/cn_official/round_10/conditions/q11032_a1103202.json
10,11032,1103203,Single,您现在的主要所在地位于哪个地区？,大洋洲,33,30,25,21,7,25,8,data_raw/cn_official/round_10/conditions/q11032_a1103203.json
10,11032,1103204,Single,您现在的主要所在地位于哪个地区？,欧洲,103,97,80,84,27,81,22,data_raw/cn_official/round_10/conditions/q11032_a1103204.json
10,11032,1103205,Single,您现在的主要所在地位于哪个地区？,北美洲,160,151,120,106,27,132,28,data_raw/cn_official/round_10/conditions/q11032_a1103205.json
10,11032,1103206,Single,您现在的主要所在地位于哪个地区？,南美洲,4,2,2,2,2,3,1,data_raw/cn_official/round_10/conditions/q11032_a1103206.json
10,11032,1103207,Single,您现在的主要所在地位于哪个地区？,非洲,7,6,5,4,1,3,4,data_raw/cn_official/round_10/conditions/q11032_a1103207.json
10,11032,1103208,Single,您现在的主要所在地位于哪个地区？,其他,32,28,22,24,4,17,15,data_raw/cn_official/round_10/conditions/q11032_a1103208.json
10,11041,1104101,Single,您现在的年龄所在区间为？,未满10岁,127,106,62,55,7,94,33,data_raw/cn_official/round_10/conditions/q11041_a1104101.json
10,11041,1104102,Single,您现在的年龄所在区间为？,10-14岁,1316,1221,983,979,89,816,500,data_raw/cn_official/round_10/conditions/q11041_a1104102.json
10,11041,1104103,Single,您现在的年龄所在区间为？,15-17岁,7740,7145,5525,5473,632,6410,1330,data_raw/cn_official/round_10/conditions/q11041_a1104103.json
10,11041,1104104,Single,您现在的年龄所在区间为？,18-21岁,11161,10157,7353,7363,970,9621,1540,data_raw/cn_official/round_10/conditions/q11041_a1104104.json
10,11041,1104105,Single,您现在的年龄所在区间为？,22-25岁,4217,3853,2762,2747,420,3650,567,data_raw/cn_official/round_10/conditions/q11041_a1104105.json
10,11041,1104106,Single,您现在的年龄所在区间为？,26-29岁,797,728,526,545,98,674,123,data_raw/cn_official/round_10/conditions/q11041_a1104106.json
10,11041,1104107,Single,您现在的年龄所在区间为？,30-39岁,247,225,184,179,32,210,37,data_raw/cn_official/round_10/conditions/q11041_a1104107.json
10,11041,1104108,Single,您现在的年龄所在区间为？,40岁及以上,100,83,47,42,2,65,35,data_raw/cn_official/round_10/conditions/q11041_a1104108.json
10,11051,1105101,Single,您当前的受教育程度为？,小学或学龄前,234,206,143,143,11,141,93,data_raw/cn_official/round_10/conditions/q11051_a1105101.json
10,11051,1105102,Single,您当前的受教育程度为？,初中,3192,2936,2321,2285,224,2342,850,data_raw/cn_official/round_10/conditions/q11051_a1105102.json
10,11051,1105103,Single,您当前的受教育程度为？,高中/中专/职高/技校,9467,8701,6584,6567,811,8082,1385,data_raw/cn_official/round_10/conditions/q11051_a1105103.json
10,11051,1105104,Single,您当前的受教育程度为？,本科/专科/高职,11492,10467,7507,7512,1044,9928,1564,data_raw/cn_official/round_10/conditions/q11051_a1105104.json
10,11051,1105105,Single,您当前的受教育程度为？,硕士/博士,889,823,632,614,127,713,176,data_raw/cn_official/round_10/conditions/q11051_a1105105.json
10,11051,1105106,Single,您当前的受教育程度为？,其他,429,385,255,262,33,333,96,data_raw/cn_official/round_10/conditions/q11051_a1105106.json
10,11061,1106101,Single,您目前还是学生吗？,是,21605,19826,14851,14770,1884,18114,3491,data_raw/cn_official/round_10/conditions/q11061_a1106101.json
