event_id,event_date,event_time_precision,platform,platform_region,poll_region_alignment,diffusion_class,character_cn,character_jp,event_type,community_layer,poll_round_before,poll_round_after,phase,source_url,source_title_or_excerpt,metric_snapshot,observed_at,interpretation,causal_limit,verification_status,character_key,before_rank,after_rank,rank_improvement,before_candidate_count,after_candidate_count,before_top_percentile,after_top_percentile,before_points_jp,after_points_jp,before_primary_jp,after_primary_jp,before_official_support_jp,after_official_support_jp,before_votes_cn,after_votes_cn,before_primary_cn,after_primary_cn,before_weighted_score_cn,after_weighted_score_cn,join_status,alignment_limit
bili_akyuu_funeral,2024-08-06,second,Bilibili,CN,jp,cross_region_observed,稗田阿求,稗田 阿求,meme_video,derivative,19,20,pre_vote,https://www.bilibili.com/video/BV1sSareYEQj/,稗田阿求于2024年8月7日安详逝世,24.2万播放;6141赞;2345收藏;863分享,2026-08-23,中文平台在日区第20回前集中传播长期寿命梗,当前累计量和时间相邻均不能证明日区新增票数,verified_public,稗田阿求,86,39,47.0,216,217,60.4651,82.4074,1112,3011,109,315,5,6,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
bili_akyuu_result,2024-08-24,second,Bilibili,CN,jp,cross_region_observed,稗田阿求,稗田 阿求,result_meme,derivative,19,20,post_result,https://www.bilibili.com/video/BV1EpWZe2EvU/,阿求排名上升47名真相令人落泪,1.5万播放累计快照,2026-08-23,日区结果被中文视频迅速吸收进既有寿命梗,发布时间晚于投票结束不能反向解释投票,verified_public,稗田阿求,86,39,47.0,216,217,60.4651,82.4074,1112,3011,109,315,5,6,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
bili_toyohime_top10_meme,2025-08-15,second,Bilibili,CN,jp,cross_region_observed,绵月丰姬,綿月 豊姫,support_meme,derivative,20,21,pre_vote,https://www.bilibili.com/video/BV1gKbxzjEZb/,幻想丰姬人气进入前十,4.7万播放;13弹幕;1470赞;318收藏;125分享,2026-08-23,中文平台在日区第21回开始日前夜出现丰姬投票梗且她随后119到73,评论尚未完整读取且不能把视频视为46名上涨的原因,verified_public_comments_pending,绵月丰姬,119,73,46.0,217,221,45.3704,67.2727,497,1629,59,135,,5,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
bili_koishi_result_f1,2025-08-30,second,Bilibili,CN,jp,cross_region_observed,古明地恋,古明地 こいし,result_meme,derivative,20,21,post_result,https://www.bilibili.com/video/BV1XihezyEVF/,恋恋重新夺得世界第一的F1模板,,2026-08-23,日区结果在中文平台数小时内被模板化,发布时间在结果后不能说明投票期动员,verified_public,古明地恋,4,1,3.0,217,221,98.6111,100.0,16273,27688,3334,5133,32,28,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
bili_koishi_ten_year,2025-08-30,second,Bilibili,CN,jp,cross_region_observed,古明地恋,古明地 こいし,result_meme,derivative,20,21,post_result,https://www.bilibili.com/video/BV1pkhqzMEwo/,十年后恋恋回到第一,,2026-08-23,长期名次历史被压缩成易传播的十年回归叙事,结果后叙事不是夺冠的唯一原因,verified_public,古明地恋,4,1,3.0,217,221,98.6111,100.0,16273,27688,3334,5133,32,28,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
bili_mima_rank49,2026-05-07,day,Bilibili,CN,jp,cross_region_observed,魅魔,魅魔,result_visibility,discussion,20,21,post_result,https://www.bilibili.com/video/BV1XhdFB4EFw/,东方人物志东方人气排行第49名魅魔,5456播放;2弹幕累计快照,2026-08-23,旧作角色第21回排名被中文角色志再传播,视频发布时间晚于第21回结果不能解释结果本身,verified_public,魅魔,56,49,7.0,217,221,74.537,78.1818,1667,2860,146,170,7,4,,,,,,,before_and_after,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
bili_yomotsu_rank52,2023-10-02,day,Bilibili,CN,jp,cross_region_observed,豫母都日狭美,豫母都日狭美,result_visibility,discussion,18,19,post_result,https://www.bilibili.com/video/BV1Jh4y167Qu/,得知日狭美人气投票位居52名,820播放累计快照,2026-08-23,明确把日狭美名次作为中文视频主题，可与第19回结果做时间配对,结果反应晚于投票不能证明视频造成名次,verified_public,豫母都日狭美,,52,,,216,,76.2791,,1907,,102,,6,,,,,,,after_only,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
bili_tatsu_r22_support,2026-08-21,day,Bilibili,CN,jp,cross_region_observed,饭纲丸龙,飯綱丸龍,support_video,derivative,21,22,during_vote,https://www.bilibili.com/video/BV1K5by6CEht/,饭纲丸大人需要你的一票,5266播放;65弹幕累计快照,2026-08-23,第22回进行中出现明确投票动员语义；仅作为进行中供给记录,第22回无完整结果，不能并入历史名次或与往届票数相加,verified_public,饭纲丸龙,42,,,221,,81.3636,,3482,,394,,4,,,,,,,,before_only,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
tieba_yamashan_r22_support,2026-08-22,day,Tieba,CN,jp,cross_region_observed,驹草山如,駒草山如,support_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10962352809,第22回东方人气投票应援楼&抽奖,回复1;其他可见数字6/1（页面未标注字段）,2026-08-23,中文贴吧在投票进行期以应援抽奖和角色音乐/醉蝶华二创记忆动员山如；评论把低人气、道中曲和漫画出场并置,第22回未结束；贴吧回复与投票票数无可比换算；其他数字字段未标注,verified_public,驹草山如,152,,,221,,31.3636,,278,,16,,1,,,,,,,,before_only,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
tieba_satori_r22_support,2026-08-22,day,Tieba,CN,jp,cross_region_observed,古明地觉,古明地さとり,support_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10964667162,请给古明地觉投下宝贵的票🤝,回复6;其他可见数字27/3（页面未标注字段）,2026-08-23,标题是直接投票应援；正文用第6—21回连续梦碎称呼制造长期失败梗，说明历史名次记忆进入本届动员,第22回未结束；连续梗是叙事材料而非因果证据；部分楼层需登录,verified_public,古明地觉,8,,,221,,96.8182,,13504,,1399,,7,,,,,,,,before_only,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
tieba_vote_translation_r22_tool,2026-08-22,day,Tieba,CN,jp,cross_region_observed,全角色,,translation_tool,discussion,21,22,during_vote,https://tieba.baidu.com/p/10963038584,【工具】东方人气投票中文翻译脚本插件,回复10;其他可见数字27/9（页面未标注字段）,2026-08-23,工具帖把日区投票的姓名/曲名/作品名翻译成中文，评论出现看不懂日文、片假名困扰和投票仍可猜出的分层体验,第22回未结束；工具采用thbwiki译名不等于官方投票口径；回复受登录展示限制,verified_public,全角色,,,,,,,,,,,,,,,,,,,,unmatched,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
tieba_koishi_r22_discussion,2026-08-22,day,Tieba,CN,jp,cross_region_observed,古明地恋,古明地こいし,discussion_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10962283358,东方Project，2026人气投票已经开始,回复22;其他可见数字7/2（页面未标注字段）,2026-08-23,300英雄吧把第21回恋恋第一与游戏出场率倒数并置，形成跨作品玩家对人气与使用率脱钩的讨论；首层评论又批评觉恋技能组,第22回未结束；300英雄玩家不是投票总体；评论串其余楼层需贴吧登录,verified_public,古明地恋,1,,,221,,100.0,,27688,,5133,,28,,,,,,,,before_only,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
tieba_rise_prediction_mokou,2026-08-23,day,Tieba,CN,jp,cross_region_observed,藤原妹红,藤原 妹紅,prediction_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10966525817,大胆预测名次飙升：尼古丁猫与妹红叼烟二创,帖子回复9;妹红楼层显示5,2026-08-24,贴吧把投票期外部流行梗和妹红既有叼烟二创联系为上涨预测,第22回未结束且预测不能证明票数变化,verified_logged_in,藤原妹红,9,,,221,,96.3636,,12665,,1755,,7,,,,,,,,before_only,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
tieba_rise_prediction_ushizaki,2026-08-23,day,Tieba,CN,jp,cross_region_observed,牛崎润美,牛崎 潤美,prediction_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10966525817,大胆预测名次飙升：投票前牛来让河边老牛重回视野,帖子回复9;润美楼层显示9,2026-08-24,小众角色被明确放入投票前新内容曝光与中文再发现的预测链,帖中牛来所指作品仍需单独核实且第22回无结果,verified_logged_in,牛崎润美,159,,,221,,28.1818,,240,,17,,4,,,,,,,,before_only,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
tieba_kagerou_r22_support,2026-08-23,day,Tieba,CN,jp,cross_region_observed,今泉影狼,今泉 影狼,support_thread,discussion,21,22,during_vote,https://tieba.baidu.com/p/10965823106,投票今泉影狼喵我什么都不会做的,回复1;其他可见数字1（页面未标注字段）,2026-08-24,猫化语尾和无行动自嘲构成极简角色应援,正文图像不作文本推断且第22回未结束,verified_logged_in,今泉影狼,83,,,221,,62.7273,,1394,,113,,4,,,,,,,,before_only,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
tieba_hifuu_r22_support,2026-08-23,day,Tieba,CN,jp,cross_region_observed,宇佐见莲子,宇佐見 蓮子,support_thread,derivative,21,22,during_vote,https://tieba.baidu.com/p/10964871856,喝醉后命令把票投给秘封并让莲子梅莉到你家,回复1;其他可见数字15/1（页面未标注字段）,2026-08-24,啤酒付丧神能力与秘封到访反转梗把组合关系直接接入应援,组合应援不能拆成莲子单角色支持量且第22回未结束,verified_logged_in,宇佐见莲子,38,,,221,,83.1818,,3690,,323,,15,,,,,,,,before_only,时间相邻只支持描述性对齐；社媒互动、播放、标签量、支援数和投票指标禁止相加。
