question_index,group,question,token,source_surfaces,cross_eligible,analytical,status,exclusion_reason
1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
2,1,您的年龄阶段,2d3f1fec929088bsdwe2bb901ab5LidwhSl82020,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
3,1,您正式接触东方Project多久,eba7afdfc2ed577a7ff0c299b7e7bYd0zSJ62020,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
4,1,您的受教育程度,f81a726ed4ds2ae9463d213292e1mvINMhK92020,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
5,1,您的工作类型是,9e5354c6c9102cbdf1b3afcf6f06QlA7yH2F2020,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
7,2,您更喜欢官方游戏中的哪一类,047ea047fd4115104f07cec0e173zenK10r0e173,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
8,2,您是否玩过旧五作,e9689867795db5e30258902dbf9dg1SBOFMXbf9d,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
9,2,您是否在steam购买过官方原作,a9oifh78ca36bedc94593f416123qfOwBic72020,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
10,2,您是否玩过 东方刚欲异闻,16ed2c8acs571f21cee3392b9323hiqJdBKD2020,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
11,2,您关注哪些近期连载的官方连载作品,5436376bc2e27afc23b18f45bgXFFtpk3a306d5d,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
12,2,您最喜欢东方原作的哪方面,8d5ef8cc0bdc503c8e0c30d62e51avmJ216Z2e51,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
13,2,购买过正版的实体原作吗（官方游戏，官方CD，官方出版物）,ab577e8ddad93adbc94ef7cb6ed3SPA1sbGB6ed3,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
14,2,购买实体正版的渠道是,de626b0508a274a396b53b993443qP2DCBQJ3443,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,pending,
