character_cn,character_jp,round21_rank,community_tags_cn,tag_status,source_path,source_scope,analysis_use
古明地恋,古明地 こいし,1,妹妹、三眼、单纯、好奇、天然呆、无意识、丝带、宽檐帽、萌袖、卷发、靴子、短靴、鬼畜、嗜杀、颜艺、美少女、阿卡林,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
雾雨魔理沙,霧雨 魔理沙,2,魔法少女、DAZE、收集癖、麻花辫、魔法帽子、魔法杖、魔法扫帚、元气、强气、围裙、泡泡袖、长卷发、白色短袜、蝴蝶结、女仆装、哥特萝莉装、玛丽珍鞋、有袜无鞋、束鬓、后宫王,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
博丽灵梦,博麗 霊夢,3,巫女、束鬓、半马尾、大蝴蝶结、缠胸布、会生长的御币、贪财、强运、长鬓角、露腋、分离袖子、白色短袜、单纯、无铁炮、齐刘海、扫帚、露脐装、黑长直、玛丽珍鞋、有袜无鞋、符箓、假笑女孩、无节操、颜艺、搞姬、淑女,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
芙兰朵露·斯卡蕾特,フランドール・スカーレット,4,大小姐、妹妹、吸血鬼、恶魔、LED灯翅膀、虎牙、幼儿体型、万年萝莉、腹黑、嗜杀、宅女、魔法少女、鬼畜、贫乳、半马尾、荷叶边帽子、哥特萝莉装、白色短袜、泡泡袖、大蝴蝶结、玛丽珍鞋、有袜无鞋、病娇、傲娇、手环,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
十六夜咲夜,十六夜 咲夜,5,女仆、麻花辫、女仆装、御姐、时停、束鬓、飞刀、短发、料理达人、怀表、黑色连裤袜、泡泡袖、胸垫、萝莉控,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
蕾米莉亚·斯卡蕾特,レミリア・スカーレット,6,大小姐、姐姐、吸血鬼、恶魔、翅膀、虎牙、幼儿体型、万年萝莉、腹黑、贫乳、荷叶边帽子、哥特萝莉装、贵族、抱头蹲防、白色短袜、尾巴、短发、玛丽珍鞋、有袜无鞋、泡泡袖、蝴蝶结、威严崩坏、傲娇,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
魂魄妖梦,魂魄 妖夢,7,天然呆、认真、护卫、刀剑、二刀流、怕鬼、庭师、可爱的男孩子、妹妹头、短发、发箍、贫乳、总受、灵活使用各种腔调,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
古明地觉,古明地 さとり,8,姐姐、万年萝莉、三眼、文学少女、温柔、侦探、短发、死鱼眼、发箍、棉拖、萌袖、白色短袜、读心、颜艺,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
藤原妹红,藤原 妹紅,9,不死之身、蓬莱人、火能力、傲娇、黑化、超长发、大蝴蝶结、姬发式、大小姐、强气、背带裤、灯笼裤、不良少女、白发红瞳,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
琪露诺,チルノ,10,妖精、笨蛋、天然呆、贫乳、大蝴蝶结、冰晶翅膀、冰能力、最强、短发、万年萝莉、连衣裙、领结、泡泡袖、玛丽珍鞋、裸足、有袜无鞋、黑色皮肤、路人(杂鱼)、特殊第一人称Atai、脸盲症,available_legacy_snapshot,Character_tag.xlsx,中文社区百科标签/萌点旧快照；混合外观、梗、昵称和二创，非官方设定。,只用于检索扩展、梗候选和二设误读审计；不能自动写入一设，也不能视为角色人气。
