sample_id,platform,source_url,content_date,observed_at,sample_type,character_cn,poll_region_alignment,related_round,round_status,text_original,text_zh_or_note,engagement_snapshot,analytic_code,interpretation,limits,verification_status,normalization_note
tieba_yamashan_comment_1,Tieba,https://tieba.baidu.com/p/10962352809,2026-08-22,2026-08-23,comment,驹草山如,jp,22,ongoing,山如姐的人气还是太低了，来给楼主增增热度。虹龙洞是我目前最喜欢的正作，我最开始被大夫吸引是初入三面瞬间被别具一格的道中曲吸引的……最近最让我印象深刻的大夫是醉蝶华中与牡丹相关的篇章里出场的……总之，为了山如姐的人气，我也来贡献一票。,低人气、虹龙洞三面道中曲、醉蝶华出场和投票贡献一票被串成个人动员叙事。,帖子回复1；楼层显示“3小时前”,character_affinity_and_derivative_bridge,社区把音乐记忆和漫画二创出场作为小众角色投票理由,仅一条可见回复；不能外推贴吧总体或投票转化,verified_visible,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_satori_comment_1,Tieba,https://tieba.baidu.com/p/10964667162,2026-08-22,2026-08-23,comment,古明地觉,jp,22,ongoing,已经被自己妹妹一脚踢飞里,以觉恋姐妹关系制作轻度肢体喜剧梗，接在觉的连续梦碎应援帖后。,帖子回复6；首层评论可见,sibling_meme,评论把姐妹关系二创化为即时笑点而非设定说明,其余楼层需登录；单条评论不能代表总体,verified_visible,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_koishi_game_comment_1,Tieba,https://tieba.baidu.com/p/10962283358,2026-08-22,2026-08-23,comment,古明地恋,jp,22,ongoing,觉恋自出场以来，技能组就被许多玩家诟病……我把觉恋重做写进角色制作征集帖和英雄天赋征集帖，但都没有被采纳。,300英雄玩家将觉恋游戏技能体验与投票讨论并置，形成‘人气高但使用率/技能评价未必高’的脱钩旁证。,帖子回复22；首层评论可见,game_usage_vs_poll,跨作品玩家经验可作为旁证但不是投票总体意见,300英雄吧受众与投票样本不同；其余楼层需登录,verified_visible,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_translation_comment_1,Tieba,https://tieba.baidu.com/p/10963038584,2026-08-22,2026-08-23,comment,全角色,jp,22,ongoing,你怎么不早点发呀？,对翻译工具发布时间的即时抱怨，反映投票期信息工具的时效需求。,帖子回复10；第3楼,accessibility_feedback,工具被视为降低日区投票语言门槛的社群基础设施,低信息量单句；不能估计实际安装量,verified_visible,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_translation_comment_2,Tieba,https://tieba.baidu.com/p/10963038584,2026-08-22,2026-08-23,comment,全角色,jp,22,ongoing,幸好我要投的基本上能猜出来，看不懂日文不影响我投票,投票者把日文能力分成‘可猜出选项’与‘需要工具’两类，说明语言门槛并非均质。,帖子回复10；第5楼,language_barrier_stratification,中文社区投票参与可在无完整翻译下完成但体验受影响,评论者自述不能代表全体中文投票者,verified_visible,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_translation_comment_3,Tieba,https://tieba.baidu.com/p/10963038584,2026-08-22,2026-08-23,comment,全角色,jp,22,ongoing,我是被几个片假名搞烦了,片假名困难被明确表达为投票摩擦点，工具帖因而有实用性。,帖子回复10；楼主回复,language_barrier_stratification,语言摩擦可能影响漏选或投票时间但没有票数证据,没有行为日志；不能估计对名次的影响,verified_visible,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_rise_prediction_mokou,Tieba,https://tieba.baidu.com/p/10966525817,2026-08-23,2026-08-24,comment,藤原妹红,jp,22,ongoing,趁着尼古喵喵的爆火，我们十张同人图九张叼着烟的妹红人气上升并非不可能,把外部尼古丁猫流行与妹红叼烟二创视觉相连，预测名次上涨。,第3楼显示5,prediction_via_derivative_meme,贴吧用户把跨作品流行梗视为妹红可见性入口,预测帖不能证明梗已改变票数；第22回未结束,verified_visible,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_rise_prediction_oni,Tieba,https://tieba.baidu.com/p/10966525817,2026-08-23,2026-08-24,comment,东方鬼角色,jp,22,ongoing,东方的鬼们会不会因为爱喝酒而和酒猫产生关联，从而人气上升,从鬼族爱酒设定扩展为与酒猫梗的群体关联预测。,第4楼显示3,canon_trait_derivative_bridge,一设属性被当作跨角色二创桥梁,群体标签不能拆成萃香/勇仪/早鬼等单角色票,verified_visible,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_rise_prediction_ushizaki,Tieba,https://tieba.baidu.com/p/10966525817,2026-08-23,2026-08-24,comment,牛崎润美,jp,22,ongoing,刚好在投票前隆重推出的牛来让被大伙们遗忘许久的河边老牛重回大众视野，在天朝的人气爆棚可以预见,把投票前新作/新内容曝光与牛崎润美的中文社区再可见性相连。,第5楼显示9,new_content_prediction,小众旧角色可能借投票前新内容获得再发现,帖中‘牛来’具体作品链仍需单独核实；只是预测,verified_visible,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_hifuu_comment_1,Tieba,https://tieba.baidu.com/p/10964871856,2026-08-23,2026-08-24,comment,宇佐见莲子;玛艾露贝莉·赫恩,jp,22,ongoing,还有这好事,对“莲子、梅莉到你家”的轻喜剧威胁作正向反转回应。,帖子回复1,hifuu_pairing_meme,秘封关系型应援通过组合笑点获得参与,单条回复不表示分别支持莲子或梅莉,verified_visible,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_koishi,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-30,2026-08-24,comment,古明地恋,jp,21,complete,卧薪尝胆十年,把恋恋重回第一压缩为十年等待叙事。,第2楼；帖子显示总回复535,long_term_comeback_meme,赛后评论把长期头部竞争叙事化。,结果后评论不能证明投票前因果；535不是本角色回复数。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_marisa,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,雾雨魔理沙,jp,21,complete,没事至少把灵梦肘后边了，万年老二这块,将魔理沙的长期第二名与本届压过灵梦连接。,第3楼；帖子显示总回复535,stable_runner_up_meme,长期名次印象成为赛后解释模板。,单条评论不能代表全部支持者。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_yukari,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,八云紫,jp,21,complete,越来越低了，前几年你还能跟幽幽子排一块凑千年组，这两年怎么回事，紫妈，你的威严呢,以千年组和紫妈威严梗解释对名次的体感。,第17楼；帖子显示总回复535,pairing_and_authority_meme,组合关系和二创称呼共同塑造趋势记忆。,回复者随后被纠正近两年均为16名，说明体感不等于数据。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
tieba_r21_curated_meiling,Tieba,https://tieba.baidu.com/p/9996937304,2025-08-31,2026-08-24,comment,红美铃,jp,21,complete,人气之壁又前移了,把红美铃作为人气分界线的旧梗接到本届名次。,第18楼；帖子显示总回复535,popularity_wall_meme,角色自身名次被用作群体排名边界。,需要逐届名次验证‘墙’的位置，评论本身不是统计口径。,verified_pc_web,楼层文本为PC网页或已登录网页可见样本；未展开、图片化、删除内容不补猜。
