round,event,event_time,timezone,relative_day,official_or_social,interpretation
20,阿求寿命/祭日梗视频发布,2024-08-06T23:39:05+08:00,Asia/Shanghai,-4,social,投票开始前出现；可作为预先存在的角色叙事背景，不能证明后续名次变化由其造成。
20,官方投票开始,2024-08-10T00:00:00+09:00,Asia/Tokyo,0,official,第20回官方期间为8月10日至8月23日。
20,官方投票结束,2024-08-23T23:59:59+09:00,Asia/Tokyo,14,official,结束后进入结果传播阶段。
20,结果日霊夢1位进入X趋势,2024-08-24T10:30:00Z,UTC,15,social_trend,归档在UTC半小时截面记录；约JST 19:30，排名第8、约1.821千推文。
20,中文结果搬运发布,2024-08-24T19:29:18+08:00,Asia/Shanghai,15,social,结果传播入口；当前11.4万播放、3622弹幕为累计快照。
20,阿求上升47名梗发布,2024-08-24T18:44:48+08:00,Asia/Shanghai,15,social,赛后娱乐化解释；当前1.5万播放，不能倒推动员票数。
21,官方投票开始,2025-08-16T00:00:00+09:00,Asia/Tokyo,0,official,第21回官方期间为8月16日至8月29日。
21,官方投票结束,2025-08-29T23:59:59+09:00,Asia/Tokyo,13,official,次日公布结果。
21,こいしちゃん进入X趋势,2025-08-30T08:00:00Z,UTC,14,social_trend,约JST 17:00，Top10第6、约1.866千推文。
21,F1meme发布,2025-08-30T16:30:03+08:00,Asia/Shanghai,14,social,结果日16:30；明确以恋恋回到第一为笑点。
21,东方厨反应梗发布,2025-08-30T17:01:33+08:00,Asia/Shanghai,14,social,结果日17:01；当前14.1万播放。
21,十年后恋恋二创发布,2025-08-30T18:03:21+08:00,Asia/Shanghai,14,social,结果日18:03；当前6194播放，形成“十年之约”叙事。
22,官方投票开始,2026-08-21T23:00:00+09:00,Asia/Tokyo,0,official,第22回当前官方投票期；尚未结束，不能与完整赛后周期比较。
22,官方投票结束,2026-08-28T22:59:00+09:00,Asia/Tokyo,7,official,计划结束时间；结果日待官方发布。
