condition_family,question_index,question_group,question,question_token,answer_index,answer_id,answer,expected_cohort,target_category,status,row_count,url,raw_path,processed_path,error,expected_cohort_source,total_effective_votes,total_first_votes,filtered_entity_count,actual_entity_count,mean_votes,median_votes,official_filter_description
questionnaire_answer,1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,1,1,男性,7009,chara,available_crawled,199,https://touhou.vote/v8/?m=chara&type=simple&quest=9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c&item=1,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/conditions/q_001/a_001/target_chara.html.gz,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/conditions/q_001/a_001/target_chara.json.gz,,official aggregate questionnaire APIs,,,,227,,,<b>您的性别→男性</b>
questionnaire_answer,1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,1,1,男性,7009,music,available_crawled,516,https://touhou.vote/v8/?m=music&type=simple&quest=9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c&item=1,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/conditions/q_001/a_001/target_music.html.gz,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/conditions/q_001/a_001/target_music.json.gz,,official aggregate questionnaire APIs,,,,569,,,<b>您的性别→男性</b>
questionnaire_answer,1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,2,2,女性,1343,chara,available_crawled,160,https://touhou.vote/v8/?m=chara&type=simple&quest=9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c&item=2,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/conditions/q_001/a_002/target_chara.html.gz,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/conditions/q_001/a_002/target_chara.json.gz,,official aggregate questionnaire APIs,,,,227,,,<b>您的性别→女性</b>
questionnaire_answer,1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,2,2,女性,1343,music,available_crawled,454,https://touhou.vote/v8/?m=music&type=simple&quest=9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c&item=2,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/conditions/q_001/a_002/target_music.html.gz,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/conditions/q_001/a_002/target_music.json.gz,,official aggregate questionnaire APIs,,,,569,,,<b>您的性别→女性</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,1,1,未满10岁,9,chara,available_crawled,47,https://touhou.vote/v8/?m=chara&type=simple&quest=2d3f1fec929088b7e092bb901ab5LidwhSl82019&item=1,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/conditions/q_002/a_001/target_chara.html.gz,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/conditions/q_002/a_001/target_chara.json.gz,,official aggregate questionnaire APIs,,,,227,,,<b>您的年龄阶段→未满10岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,1,1,未满10岁,9,music,available_crawled,34,https://touhou.vote/v8/?m=music&type=simple&quest=2d3f1fec929088b7e092bb901ab5LidwhSl82019&item=1,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/conditions/q_002/a_001/target_music.html.gz,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/conditions/q_002/a_001/target_music.json.gz,,official aggregate questionnaire APIs,,,,569,,,<b>您的年龄阶段→未满10岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,2,2,10-14岁,309,chara,available_crawled,140,https://touhou.vote/v8/?m=chara&type=simple&quest=2d3f1fec929088b7e092bb901ab5LidwhSl82019&item=2,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/conditions/q_002/a_002/target_chara.html.gz,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/conditions/q_002/a_002/target_chara.json.gz,,official aggregate questionnaire APIs,,,,227,,,<b>您的年龄阶段→10-14岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,2,2,10-14岁,309,music,available_crawled,319,https://touhou.vote/v8/?m=music&type=simple&quest=2d3f1fec929088b7e092bb901ab5LidwhSl82019&item=2,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/conditions/q_002/a_002/target_music.html.gz,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/conditions/q_002/a_002/target_music.json.gz,,official aggregate questionnaire APIs,,,,569,,,<b>您的年龄阶段→10-14岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,3,3,15-19岁,4338,chara,available_crawled,189,https://touhou.vote/v8/?m=chara&type=simple&quest=2d3f1fec929088b7e092bb901ab5LidwhSl82019&item=3,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/conditions/q_002/a_003/target_chara.html.gz,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/conditions/q_002/a_003/target_chara.json.gz,,official aggregate questionnaire APIs,,,,227,,,<b>您的年龄阶段→15-19岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,3,3,15-19岁,4338,music,available_crawled,503,https://touhou.vote/v8/?m=music&type=simple&quest=2d3f1fec929088b7e092bb901ab5LidwhSl82019&item=3,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/conditions/q_002/a_003/target_music.html.gz,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/conditions/q_002/a_003/target_music.json.gz,,official aggregate questionnaire APIs,,,,569,,,<b>您的年龄阶段→15-19岁</b>
