source,table_index,table_heading,table_id,row_index,cell_index,cell_type,text,number,percent,numeric_tokens
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,0,调查问卷,,0,0,td,本页面为人气投票问卷结果统计页，点击这里返回首页。 总有效问卷数7785Chrome浏览器可能无法正确显示图表，可使用Firefox或IE。,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,1,投票群相关,stable,0,0,th,1.性别,,,[1]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,1,投票群相关,stable,1,0,td,男：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,1,投票群相关,stable,1,1,td,5898票，占75.76%,,75.76,[5898]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,1,投票群相关,stable,2,0,td,女：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,1,投票群相关,stable,2,1,td,1887票，占24.24%,,24.24,[1887]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,1,投票群相关,stable,3,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,0,0,th,2.年龄阶段,,,[2]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,1,0,td,15-19岁：,,,"[15, 19]"
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,1,1,td,4024票，占51.69%,,51.69,[4024]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,2,0,td,20-24岁：,,,"[20, 24]"
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,2,1,td,2564票，占32.94%,,32.94,[2564]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,3,0,td,10-14岁：,,,"[10, 14]"
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,3,1,td,678票，占8.71%,,8.71,[678]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,4,0,td,25-29岁：,,,"[25, 29]"
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,4,1,td,448票，占5.75%,,5.75,[448]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,5,0,td,30-40岁：,,,"[30, 40]"
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,5,1,td,48票，占0.62%,,0.62,[48]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,6,0,td,未满10岁：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,6,1,td,17票，占0.22%,,0.22,[17]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,7,0,td,40岁以上：,,,[40]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,7,1,td,6票，占0.08%,,0.08,[6]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,2,投票群相关,stable,8,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,0,0,th,3.学历情况,,,[3]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,1,0,td,大学及以上：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,1,1,td,3527票，占45.31%,,45.31,[3527]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,2,0,td,高中：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,2,1,td,2940票，占37.76%,,37.76,[2940]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,3,0,td,初中：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,3,1,td,1112票，占14.28%,,14.28,[1112]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,4,0,td,其他：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,4,1,td,140票，占1.8%,,1.8,[140]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,5,0,td,小学：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,5,1,td,66票，占0.85%,,0.85,[66]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,3,投票群相关,stable,6,0,td,+ 图表,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,0,0,th,4.接触东方的时间,,,[4]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,1,0,td,一年到三年：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,1,1,td,3475票，占44.64%,,44.64,[3475]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,2,0,td,三年以上：,,,[]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,2,1,td,2016票，占25.9%,,25.9,[2016]
data_raw/cn_official_legacy/round_03/raw/pages/paper/index.html,4,投票群相关,stable,3,0,td,半年到一年：,,,[]
