sample_id,platform,source_url,content_date,observed_at,sample_type,character_cn,poll_region_alignment,related_round,round_status,text_original,text_zh_or_note,engagement_snapshot,analytic_code,interpretation,limits,verification_status
bili_akyuu_danmaku_plus1,Bilibili,https://www.bilibili.com/video/BV1sSareYEQj/,2024-08-06,2026-08-23,danmaku,稗田阿求,jp,20,complete,+1,跟随式确认,,participatory_meme,弹幕以最短符号加入集体纪念语境,单条弹幕无法判断真实信念或投票行为,verified_visible
bili_akyuu_danmaku_speed,Bilibili,https://www.bilibili.com/video/BV1sSareYEQj/,2024-08-06,2026-08-23,danmaku,稗田阿求,jp,20,complete,开二倍速食用更佳,用播放操作制造喜丧反差,,platform_affordance_meme,梗不仅在标题还进入观看方式层面,弹幕出现时间和点赞未知,verified_visible
bili_akyuu_danmaku_notyet,Bilibili,https://www.bilibili.com/video/BV1sSareYEQj/,2024-08-06,2026-08-23,danmaku,稗田阿求,jp,20,complete,还没到呢！！,对精确命日倒计时的纠正/参与,,countdown_meme,观众已理解精确日期外推的共同语境,不能由此断言多数观众接受官方死亡说,verified_visible
bili_akyuu_danmaku_30years,Bilibili,https://www.bilibili.com/video/BV1sSareYEQj/,2024-08-06,2026-08-23,danmaku,稗田阿求,jp,20,complete,人生三十年，如梦亦似幻,把短命一设转译成戏剧化悼词,,canon_reframing,评论层直接调用约三十岁的一设素材,引用梗的出处和传播链仍需单独考证,verified_visible
bili_akyuu_result_47,Bilibili,https://www.bilibili.com/video/BV1EpWZe2EvU/,2024-08-24,2026-08-23,danmaku,稗田阿求,jp,20,complete,真的上升47名，有图有真相,用投票结果确认标题叙事,,result_validation,观众把官方名次变化作为梗的证据资源,不能反向推出寿命梗造成上涨,verified_visible
bili_akyuu_result_burn,Bilibili,https://www.bilibili.com/video/BV1EpWZe2EvU/,2024-08-24,2026-08-23,danmaku,稗田阿求,jp,20,complete,血肉之躯，燃烧一次足矣,英雄化/燃尽式再诠释,,heroic_reframing,赛后梗并非只有葬礼也包含燃烧式应援语汇,单条弹幕不能代表主流解释,verified_visible
bili_akyuu_result_cycle,Bilibili,https://www.bilibili.com/video/BV1EpWZe2EvU/,2024-08-24,2026-08-23,danmaku,稗田阿求,jp,20,complete,每130年都有一次,调用御阿礼之子转生周期,,canon_cycle_meme,一设中的转生周期与赛后结果被组合,数字准确性和出处需另行核对,verified_visible
bili_cn_r11_pinned,Bilibili,https://www.bilibili.com/video/BV1Xc411e7n2/,2024-01-25,2026-08-23,pinned_comment,全角色,cn,11,complete,不求三连，只求多留一些弹幕和评论,UP主主动请求互动以形成榜单讨论层,,engagement_request,结果视频的评论弹幕本身被视为社区参与目标,互动请求会影响评论量所以评论数不是自然热度,verified_visible
pixiv_r8_koishi_comment,Pixiv,https://www.pixiv.net/artworks/16794603,2011-02-19,2026-08-23,comment,古明地恋,jp,8,complete,５キャラに対する支援絵だというのに、こいしたんにしか興味ありませんｗｗ …,明明是给多角色的应援图我却只对恋恋感兴趣,,single_character_focus,早期评论已用玩笑把多角色应援重新聚焦到恋恋,截取评论且样本仅一条,verified_logged_in
pixiv_easya_comment,Pixiv,https://www.pixiv.net/artworks/49042898,2015-03-01,2026-08-23,comment,易者,jp,11,complete,かわいいは正義！,可爱就是正义,,cute_reframing,无名男性角色也被萌化而获得与原作功能不同的二创入口,单条评论不能测量易者整体接受度,verified_logged_in
