topic,round,change_type,detail,trend_treatment
age,5,question_first_available,年齢の数値回答が初めて確認できる。,第5回以降のみを比較。
age,6,source_granularity_change,概要年齢帯に加えて単年齢詳細も公表する形式へ変更。第6回の上端は40歳以上にまとめられている。,重複する概要表を数えず、単年齢詳細を共通年齢帯へ再集計。40～49/50歳以上の細分は第6回を欠測扱い。
age,14,published_bin_label_anomaly,概要表先頭が『～10歳』、次項も『10歳～14歳』で重複する。,重複概要表を使わず単年齢詳細から再集計。
age,11,official_outliers_retained,単年齢表には100歳等の極端値が含まれる。,公式原数値を削除せず50歳以上へ集計し、推測による外れ値除去はしない。
sex,18,option_added,『その他』が追加され、従来の二択から三択になった。,男性・女性は継続表示するが制度変更を明示。
location,12,question_first_available,居住地域の21区分が初めて確認できる。,第12回以降を比較。
location,13,label_change,北九州/南九州が九州北部/九州南部表記へ変更。,同一区分として正規化。
cognition,8,question_absent,第8・9回は知った時期の設問がない。,欠測を0として補完しない。
cognition,11,binning_redesign,日付区間中心から作品発売区間中心の表記へ変更。,作品区間が一致する選択肢だけ連結。
cognition,19,historical_bins_revised,天空璋以降にナイトメアダイアリーを含む区間が追加・再配置された。,完全一致する作品区間だけ比較。
trigger,9,question_absent,第9・10回は知ったきっかけの設問がない。,欠測を0として補完しない。
trigger,11,wording_redesign,選択肢が大幅に再設計された。,意味が対応する大分類のみ連結し変更点を保持。
trigger,14,video_split,動画サイトがニコニコ動画とその他動画サイトへ分割。,video_anyは両項を件数加算。
trigger,18,youtube_split,YouTubeがその他動画サイトから独立。,video_anyはニコニコ・YouTube・その他を件数加算。
voted,11,question_first_available,過去の人気投票参加回数を初めて確認できる。,第11回以降を比較。
voted,19,bin_split,『過去4回以上』が4～6、7～9、10回以上へ分割。,3項を加算して従来の4回以上を再現。
charm,7,legacy_design,最大3つ選択、13項目の旧設計。,第11回以降の7項目設計とは連結しない。
charm,11,question_redesign,7項目の複数回答設計へ変更。,第11～21回だけを同一定義で比較。
intention,12,question_first_available,即売会参加目的の複数回答設問を確認できる。,第12回以降を比較。
intention,14,source_structure_change,公式表に無名の親グループ行が出現。,無名親行を除き、名前付き選択肢のみ使用。
intention,17,denominator_scope_change,参加目的の分母が参加者数から全回答者数へ変更された。,参加目的を第12～16回（参加者内）と第17～21回（全回答者内）の別系列に分割。参加/不参加率だけは全回答者基準で連結。
event,19,question_first_available,東方関連イベント種別の設問を確認できる。,第19回は原始値として保持し、同一分母範囲を確認できる第20・21回を比較。
event,20,denominator_scope_change,有効回答数が全体規模から限定回答群の規模へ大きく変わり、同一分母範囲を確認できない。,第19回を第20・21回と連結せず、第20・21回だけを比較。
event,21,option_added,イベント種別に新しい選択肢が追加された。,既存の同名選択肢を継続比較し、新項目は単年値として原始表に保持。
cleared_title,5,denominator_scope_change,作品別クリア難易度の分母が当該作品プレイヤー中心の回答群になった。,第3・4回の全体基準と第5～10回のプレイヤー基準を別系列にする。
cleared_title,11,response_and_denominator_change,未購入/Easy未クリアを分離し、全回答者基準の形式へ変更。,第5～10回のプレイヤー基準と第11回以降の全回答者基準を別系列にする。
magazine,11,question_redesign,所持書籍の複数回答から作品別の購読・閲覧状態へ変更。,第4～10回と第11回以降を別系列にする。
magazine,20,service_rename,Comic Walker表記がカドコミ（旧Comic Walker）へ変更。,同一サービスの改称として正規化。
purchase_method,19,question_first_available,CD-ROM/ダウンロード購入方法の設問を確認できる。,第19～21回を比較。
trigger,21,wording_and_options_change,オフライン紹介から家族の例示が外れ、東方STATION等の新項目が追加された。,対応する既存大分類は継続し、新項目は単年値として原始表に保持。
friends,20,question_first_available,東方について話す知人の人数を確認できる。,第20・21回の同名選択肢を比較。
subnumber,20,question_first_available,整数作品以外の作品別項目を確認できる。,第20・21回の同名作品だけ比較。
usertype,20,question_first_available,東方関連活動の複数回答項目を確認できる。,第20・21回の同名活動だけ比較。
played_title,5,question_first_available,プレイ経験作品の複数回答を確認できる。,第5～10回の同設問内で比較。
work_rating,9,table_scope_change,第9回以降は評価表の作品構成が変化。,同一作品・同一得点選択肢だけ比較。
play_time,9,binning_redesign,総プレイ時間の刻みが10時間から5時間中心へ変更。,第3・4回の共通形式と第9回を連結しない。
