platform,round,component,component_label,status,observed_records,expected_records,record_unit,status_basis,evidence,note
JP,3,main_rankings,主榜,available_crawled,3,3,ranking_categories,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music, spell；抓取失败记录 0 条。"
JP,3,questionnaire_definitions,问卷定义,available_crawled,5,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 102 行、约 5 个题目键。
JP,3,questionnaire_results,问卷结果,available_crawled,102,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 102 行、约 5 个题目键。
JP,3,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,3,entity_questionnaire_details,实体问卷明细,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 0 行；官网组件状态由 legacy normalizer 明确给出。
JP,3,associations_covote,关联/共投,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 0 行；与实体 numeric profile 同源。
JP,3,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,3,open_text,开放文本,pending,0,,official_comment_pages,incomplete_or_unverified,metadata/jp_official_legacy_coverage.json,现有覆盖元数据没有明确证明开放文本已提供或已完整抓取，保守记 pending。
JP,4,main_rankings,主榜,available_crawled,2,2,ranking_categories,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music；抓取失败记录 0 条。"
JP,4,questionnaire_definitions,问卷定义,available_crawled,7,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 161 行、约 7 个题目键。
JP,4,questionnaire_results,问卷结果,available_crawled,161,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 161 行、约 7 个题目键。
JP,4,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,4,entity_questionnaire_details,实体问卷明细,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 0 行；官网组件状态由 legacy normalizer 明确给出。
JP,4,associations_covote,关联/共投,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 0 行；与实体 numeric profile 同源。
JP,4,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,4,open_text,开放文本,pending,0,,official_comment_pages,incomplete_or_unverified,metadata/jp_official_legacy_coverage.json,现有覆盖元数据没有明确证明开放文本已提供或已完整抓取，保守记 pending。
JP,5,main_rankings,主榜,available_crawled,2,2,ranking_categories,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music；抓取失败记录 0 条。"
JP,5,questionnaire_definitions,问卷定义,available_crawled,9,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 154 行、约 9 个题目键。
JP,5,questionnaire_results,问卷结果,available_crawled,154,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 154 行、约 9 个题目键。
JP,5,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,5,entity_questionnaire_details,实体问卷明细,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 0 行；官网组件状态由 legacy normalizer 明确给出。
JP,5,associations_covote,关联/共投,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 0 行；与实体 numeric profile 同源。
JP,5,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,5,open_text,开放文本,available_crawled,25,25,official_comment_pages,explicit_metadata,metadata/jp_official_legacy_coverage.json,官方 questionnaire_comment 页面已抓 25 页；当前矩阵只确认页面覆盖。
JP,6,main_rankings,主榜,available_crawled,2,2,ranking_categories,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music；抓取失败记录 0 条。"
JP,6,questionnaire_definitions,问卷定义,available_crawled,9,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 183 行、约 9 个题目键。
JP,6,questionnaire_results,问卷结果,available_crawled,183,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 183 行、约 9 个题目键。
JP,6,questionnaire_trends,问卷趋势,not_applicable,0,0,series,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 静态アンケート页没有与 CN 现代接口按小时趋势表同构的组件。
JP,6,entity_questionnaire_details,实体问卷明细,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_questionnaire_long.csv,逐实体问卷明细 0 行；官网组件状态由 legacy normalizer 明确给出。
JP,6,associations_covote,关联/共投,official_not_offered,0,,normalized_rows,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/entity_association_long.csv,逐实体关联明细 0 行；与实体 numeric profile 同源。
JP,6,condition_rankings,条件榜,not_applicable,0,0,condition_files,interface_scope,metadata/jp_official_legacy_component_status.json,JP legacy 逐实体关联不等同于 CN 现代站的任意问卷选项条件榜。
JP,6,open_text,开放文本,available_crawled,22,22,official_comment_pages,explicit_metadata,metadata/jp_official_legacy_coverage.json,官方 questionnaire_comment 页面已抓 22 页；当前矩阵只确认页面覆盖。
JP,7,main_rankings,主榜,available_crawled,2,2,ranking_categories,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/source_entity_metrics.csv,"官网已抓排名类别：character, music；抓取失败记录 0 条。"
JP,7,questionnaire_definitions,问卷定义,available_crawled,8,,questions,explicit_metadata+processed_table,metadata/jp_official_legacy_component_status.json;data_processed/jp_official_legacy/questionnaire_long.csv,legacy normalizer 问卷长表 227 行、约 8 个题目键。
