round,component,target,expected,available_crawled,intentionally_excluded,status,evidence
5,entry_paper,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_05/raw/pages/paper/index.html
5,entry_chara_simple,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_05/raw/pages/chara/m_chara__type_simple.html
5,entry_music_simple,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_05/raw/pages/music/m_music__type_simple.html
5,entry_paper_client,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_05/raw/scripts/paperinfo.js
5,entry_info_client,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_05/raw/scripts/info.js
5,questionnaire_aggregate_apis,,7,7,0,available_crawled,data_raw/cn_official_legacy/round_05/raw/api/questionnaire
5,questionnaire_answer_catalogues,,58,58,0,available_crawled,data_raw/cn_official_legacy/round_05/processed/advanced/questionnaire/questions.csv
5,questionnaire_atomic_rankings,chara,314,314,0,available_crawled,data_raw/cn_official_legacy/round_05/processed/advanced/questionnaire/condition_index.csv
5,questionnaire_atomic_rankings,music,314,314,0,available_crawled,data_raw/cn_official_legacy/round_05/processed/advanced/questionnaire/condition_index.csv
5,questionnaire_unordered_pairs,,1596,1596,0,available_crawled,data_raw/cn_official_legacy/round_05/processed/advanced/questionnaire/pair_index.csv
5,entity_catalogue,chara,1,1,0,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
5,entity_catalogue,music,1,1,0,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/music.json
5,entity_atomic_rankings,chara,1054,1054,334,available_crawled,data_raw/cn_official_legacy/round_05/processed/advanced/entity/condition_index.csv
5,entity_atomic_rankings,music,1054,1054,334,available_crawled,data_raw/cn_official_legacy/round_05/processed/advanced/entity/condition_index.csv
5,analytical_exclusions,,668,0,668,intentionally_excluded,open/non-categorical questions and zero-sized entity cohorts only
6,entry_paper,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_06/raw/pages/paper/index.html
6,entry_chara_simple,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_06/raw/pages/chara/m_chara__type_simple.html
6,entry_music_simple,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_06/raw/pages/music/m_music__type_simple.html
6,entry_paper_client,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_06/raw/scripts/paperinfo.js
6,entry_info_client,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_06/raw/scripts/info.js
6,questionnaire_aggregate_apis,,8,8,0,available_crawled,data_raw/cn_official_legacy/round_06/raw/api/questionnaire
6,questionnaire_answer_catalogues,,60,60,0,available_crawled,data_raw/cn_official_legacy/round_06/processed/advanced/questionnaire/questions.csv
6,questionnaire_atomic_rankings,chara,327,327,0,available_crawled,data_raw/cn_official_legacy/round_06/processed/advanced/questionnaire/condition_index.csv
6,questionnaire_atomic_rankings,music,327,327,0,available_crawled,data_raw/cn_official_legacy/round_06/processed/advanced/questionnaire/condition_index.csv
6,questionnaire_unordered_pairs,,1770,1770,0,available_crawled,data_raw/cn_official_legacy/round_06/processed/advanced/questionnaire/pair_index.csv
6,entity_catalogue,chara,1,1,0,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/entity/catalog/chara.json
6,entity_catalogue,music,1,1,0,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/entity/catalog/music.json
6,entity_atomic_rankings,chara,1135,1135,331,available_crawled,data_raw/cn_official_legacy/round_06/processed/advanced/entity/condition_index.csv
6,entity_atomic_rankings,music,1135,1135,331,available_crawled,data_raw/cn_official_legacy/round_06/processed/advanced/entity/condition_index.csv
6,analytical_exclusions,,662,0,662,intentionally_excluded,open/non-categorical questions and zero-sized entity cohorts only
7,entry_paper,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_07/raw/pages/paper/index.html
7,entry_chara_simple,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_07/raw/pages/chara/m_chara__type_simple.html
7,entry_music_simple,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_07/raw/pages/music/m_music__type_simple.html
7,entry_paper_client,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_07/raw/scripts/paperinfo.js
7,entry_info_client,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_07/raw/scripts/info.js
7,questionnaire_aggregate_apis,,8,8,0,available_crawled,data_raw/cn_official_legacy/round_07/raw/api/questionnaire
7,questionnaire_answer_catalogues,,60,60,0,available_crawled,data_raw/cn_official_legacy/round_07/processed/advanced/questionnaire/questions.csv
7,questionnaire_atomic_rankings,chara,327,327,0,available_crawled,data_raw/cn_official_legacy/round_07/processed/advanced/questionnaire/condition_index.csv
7,questionnaire_atomic_rankings,music,327,327,0,available_crawled,data_raw/cn_official_legacy/round_07/processed/advanced/questionnaire/condition_index.csv
7,questionnaire_unordered_pairs,,1770,1770,0,available_crawled,data_raw/cn_official_legacy/round_07/processed/advanced/questionnaire/pair_index.csv
7,entity_catalogue,chara,1,1,0,available_crawled,data_raw/cn_official_legacy/round_07/raw/advanced/entity/catalog/chara.json
7,entity_catalogue,music,1,1,0,available_crawled,data_raw/cn_official_legacy/round_07/raw/advanced/entity/catalog/music.json
7,entity_atomic_rankings,chara,1154,1154,386,available_crawled,data_raw/cn_official_legacy/round_07/processed/advanced/entity/condition_index.csv
7,entity_atomic_rankings,music,1154,1154,386,available_crawled,data_raw/cn_official_legacy/round_07/processed/advanced/entity/condition_index.csv
7,analytical_exclusions,,772,0,772,intentionally_excluded,open/non-categorical questions and zero-sized entity cohorts only
8,entry_paper,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_08/raw/pages/paper/index.html
8,entry_chara_simple,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_08/raw/pages/chara/m_chara__type_simple.html
8,entry_music_simple,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_08/raw/pages/music/m_music__type_simple.html
8,entry_paper_client,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_08/raw/scripts/paperinfo.js
8,entry_info_client,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_08/raw/scripts/info.js
8,questionnaire_aggregate_apis,,8,8,0,available_crawled,data_raw/cn_official_legacy/round_08/raw/api/questionnaire
8,questionnaire_answer_catalogues,,60,60,0,available_crawled,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/questions.csv
8,questionnaire_atomic_rankings,chara,328,328,0,available_crawled,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/condition_index.csv
8,questionnaire_atomic_rankings,music,328,328,0,available_crawled,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/condition_index.csv
8,questionnaire_unordered_pairs,,1770,1770,0,available_crawled,data_raw/cn_official_legacy/round_08/processed/advanced/questionnaire/pair_index.csv
8,entity_catalogue,chara,1,1,0,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/entity/catalog/chara.json
8,entity_catalogue,music,1,1,0,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/entity/catalog/music.json
8,entity_atomic_rankings,chara,1199,1199,393,available_crawled,data_raw/cn_official_legacy/round_08/processed/advanced/entity/condition_index.csv
8,entity_atomic_rankings,music,1199,1199,393,available_crawled,data_raw/cn_official_legacy/round_08/processed/advanced/entity/condition_index.csv
8,analytical_exclusions,,786,0,786,intentionally_excluded,open/non-categorical questions and zero-sized entity cohorts only
9,entry_paper,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_09/raw/pages/paper/index.html
9,entry_chara_simple,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_09/raw/pages/chara/m_chara__type_simple.html
9,entry_music_simple,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_09/raw/pages/music/m_music__type_simple.html
9,entry_paper_client,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_09/raw/scripts/paperinfo.js
9,entry_info_client,,1,1,0,available_crawled,data_raw/cn_official_legacy/round_09/raw/scripts/info.js
9,questionnaire_aggregate_apis,,8,8,0,available_crawled,data_raw/cn_official_legacy/round_09/raw/api/questionnaire
9,questionnaire_answer_catalogues,,61,61,1,available_crawled,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/questions.csv
9,questionnaire_atomic_rankings,chara,330,330,1,available_crawled,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/condition_index.csv
9,questionnaire_atomic_rankings,music,330,330,1,available_crawled,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/condition_index.csv
9,questionnaire_unordered_pairs,,1830,1830,1,available_crawled,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/pair_index.csv
9,entity_catalogue,chara,1,1,0,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
9,entity_catalogue,music,1,1,0,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/music.json
