event_id,event_date,event_time_precision,platform,platform_region,poll_region_alignment,diffusion_class,character_cn,character_jp,event_type,community_layer,poll_round_before,poll_round_after,phase,source_url,source_title_or_excerpt,metric_snapshot,observed_at,interpretation,causal_limit,verification_status
x_r7_nazrin_prediction,2010-02-13,day,X,JP,jp,domestic_platform_poll_alignment,娜兹玲,ナズーリン,prediction,discussion,6,7,during_vote,https://x.com/sen_astronomy/status/9016895673,星莲船角色中娜兹玲可能最有人气,,2026-08-23,第7回投票期内已有针对新作角色相对人气的公开预测,预测帖不能代替结果也不能量化动员,verified_logged_in
pixiv_r8_satori_support,2011-02-19,day,Pixiv,JP,jp,domestic_platform_poll_alignment,古明地觉,古明地 さとり,support_art,derivative,7,8,during_vote,https://www.pixiv.net/artworks/16794603,第8回投票末日为觉等六名角色应援,"576赞;194收藏;27752阅览",2026-08-23,投票截止日发布的多角色应援漫画把二创直接接入投票期,当前累计指标不能还原2011年的当日曝光,verified_logged_in
pixiv_r8_eiki_support,2011-02-19,day,Pixiv,JP,jp,domestic_platform_poll_alignment,四季映姬·夜摩仙那度,四季映姫・ヤマザナドゥ,support_art,derivative,7,8,during_vote,https://www.pixiv.net/artworks/16794603,第8回投票末日为映姬等六名角色应援,"576赞;194收藏;27752阅览",2026-08-23,同一作品支持多名角色说明应援供给不能按作品数直接等同单角色票数,当前累计指标不能还原2011年的当日曝光,verified_logged_in
pixiv_r8_koishi_support,2011-02-19,day,Pixiv,JP,jp,domestic_platform_poll_alignment,古明地恋,古明地 こいし,support_art,derivative,7,8,during_vote,https://www.pixiv.net/artworks/16794603,第8回投票末日为恋恋等六名角色应援,"576赞;194收藏;27752阅览",2026-08-23,2011评论只关注恋恋的玩笑显示多角色应援也会被单角色注意力重新聚焦,单条评论不代表受众总体偏好,verified_logged_in
pixiv_r8_nue_support,2011-02-19,day,Pixiv,JP,jp,domestic_platform_poll_alignment,封兽鵺,封獣 ぬえ,support_art,derivative,7,8,during_vote,https://www.pixiv.net/artworks/16794603,第8回投票末日为鵺等六名角色应援,"576赞;194收藏;27752阅览",2026-08-23,早期Pixiv已存在投票末日的多角色应援实践,作品存在不等于受众完成了投票,verified_logged_in
pixiv_r8_nazrin_support,2011-02-19,day,Pixiv,JP,jp,domestic_platform_poll_alignment,娜兹玲,ナズーリン,support_art,derivative,7,8,during_vote,https://www.pixiv.net/artworks/16794603,第8回投票末日为娜兹玲等六名角色应援,"576赞;194收藏;27752阅览",2026-08-23,与第7回X预测相隔一年后仍可见娜兹玲应援作品,不能从两条材料推断稳定支持盘大小,verified_logged_in
pixiv_r8_koishi_focus_comment,2011-02-19,day,Pixiv,JP,jp,domestic_platform_poll_alignment,古明地恋,古明地 こいし,comment_reaction,comment,7,8,post_publish,https://www.pixiv.net/artworks/16794603,五人应援图里我只对恋恋有兴趣,,2026-08-23,评论层显示受众会从群体应援中提取单角色笑点,单条评论只能作质性样本,verified_logged_in
pixiv_easya_early,2015-03-01,day,Pixiv,JP,jp,domestic_platform_poll_alignment,易者,易者,derivative_art,derivative,10,11,inter_round,https://www.pixiv.net/artworks/49042898,易者二创早期样本,,2026-08-23,易者在进入第11回榜单前已有可见二创并非投票后才出现,单件作品不能证明覆盖规模或名次原因,verified_logged_in
x_r11_mokou_lolk_effect,2015-06-01,second,X,JP,jp,domestic_platform_poll_alignment,藤原妹红,藤原 妹紅,result_interpretation,discussion,10,11,post_result,https://x.com/yakumo_midori_/status/605202324164706304,深秘录登场效应被用于解释妹红重返Top10,,2026-08-23,赛后即时把官方新作登场与名次变化联系起来,这是社区解释而非控制其他因素后的因果估计,verified_logged_in
x_r11_seija_rise,2015-06-01,second,X,JP,jp,domestic_platform_poll_alignment,鬼人正邪,鬼人 正邪,result_interpretation,discussion,10,11,post_result,https://x.com/kochi13/status/605216258016092160,正邪布都小伞上涨尚可理解但莲子发生了什么,,2026-08-23,第11回结果后社区明确注意到正邪等角色上涨,帖子未给出完整机制和反事实,verified_logged_in
