poll_region,round,scoped_character_count,eligible_character_count,pre_appearance_excluded_count,pre_appearance_excluded_character_cn,characters_with_direct_event,characters_with_comment_or_danmaku,characters_with_any_curated_social_evidence,characters_without_curated_social_evidence,missing_character_cn,niconico_round_specific_video_count,niconico_title_explicit_character_count,coverage_limit
jp,3,50,50,117,古明地恋;古明地觉;射命丸文;东风谷早苗;秦心;比那名居天子;多多良小伞;洩矢诹访子;四季映姬·夜摩仙那度;纯狐;风见幽香;伊吹萃香;犬走椛;灵乌路空;赫卡提亚·拉碧斯拉祖利;依神紫苑;鬼人正邪;丰聪耳神子;水桥帕露西;宇佐见莲子;键山雏;物部布都;稀神探女;饭纲丸龙;摩多罗隐岐奈;河城荷取;茨木华扇;火焰猫燐;饕餮尤魔;圣白莲;封兽鵺;玛艾露贝莉·赫恩;天弓千亦;娜兹玲;哆来咪·苏伊特;道神驯子;埴安神袿姬;赤蛮奇;菅牧典;村纱水蜜;霍青娥;八坂神奈子;克劳恩皮丝;本居小铃;绵月丰姬;依神女苑;小野塚小町;永江衣玖;姬海棠果;二岩猯藏;稗田阿求;吉吊八千慧;今泉影狼;星熊勇仪;宇佐见堇子;庭渡久侘歌;少名针妙丸;苏我屠自古;奥野田美宵;宫出口瑞灵;堀川雷鼓;梅蒂欣·梅兰可莉;绵月依姬;高丽野阿吽;豫母都日狭美;露娜切露德;宫古芳香;若鹭姬;姬虫百百世;日白残无;秋穰子;秋静叶;寅丸星;幽谷响子;天火人血枪;骊驹早鬼;黑谷山女;斯塔萨菲雅;桑尼米尔克;清兰;冴月麟;杖刀偶磨弓;豪德寺三花;丁礼田舞;九十九弁弁;爱塔妮缇拉尔瓦;三头慧之子;尔子田里乃;封兽魑魅;孙美天;铃瑚;铃仙二号;坂田合欢;萨丽爱尔;矢田寺成美;九十九八桥;戎璎花;山城高岭;玉造魅须丸;依莉斯;琪斯美;驹草山如;矜羯罗;魂魄妖忌;留琴;牛崎润美;奥莲姬;尘塚姥芽;里香;幽幻魔眼;神玉;蕾拉·普莉兹姆利巴;大鲶鱼;露易兹;菊理;咪咪号;嫦娥,0,0,0,50,露米娅;梦子;萨拉;藤原妹红;红美铃;明罗;帕秋莉·诺蕾姬;西行寺幽幽子;艾丽;上白泽慧音;八云紫;魅魔;因幡天为（因幡帝）;爱莲;小恶魔;幻月;雾雨魔理沙;爱丽丝·玛格特洛依德;舞;魂魄妖梦;博丽灵梦;琪露诺;北白河千百合;莉莉卡·普莉兹姆利巴;橙;雪;蕾米莉亚·斯卡蕾特;铃仙·优昙华院·因幡;冈崎梦美;芙兰朵露·斯卡蕾特;大妖精;胡桃;梅露兰·普莉兹姆利巴;无名的读书妖怪（朱鹭子）;蓬莱山辉夜;梦月;神绮;米斯蒂娅·萝蕾拉;八云蓝;十六夜咲夜;卡娜·安娜贝拉尔;莉格露·奈特巴格;露娜萨·普莉兹姆利巴;八意永琳;森近霖之助;朝仓理香子;莉莉霍瓦特（莉莉白）;玄爷;蕾蒂·霍瓦特洛克;小兔姬,4,0,空白只表示当前精选表未收录旁证，不表示当年没有讨论；Niconico无角色点名的视频不能转换成逐角色覆盖。
jp,4,66,66,101,古明地恋;古明地觉;东风谷早苗;秦心;比那名居天子;多多良小伞;洩矢诹访子;纯狐;犬走椛;灵乌路空;赫卡提亚·拉碧斯拉祖利;依神紫苑;鬼人正邪;丰聪耳神子;水桥帕露西;键山雏;物部布都;稀神探女;饭纲丸龙;摩多罗隐岐奈;河城荷取;茨木华扇;火焰猫燐;饕餮尤魔;圣白莲;封兽鵺;天弓千亦;娜兹玲;哆来咪·苏伊特;道神驯子;埴安神袿姬;赤蛮奇;菅牧典;村纱水蜜;霍青娥;八坂神奈子;克劳恩皮丝;本居小铃;绵月丰姬;依神女苑;永江衣玖;姬海棠果;二岩猯藏;稗田阿求;吉吊八千慧;今泉影狼;星熊勇仪;宇佐见堇子;庭渡久侘歌;少名针妙丸;苏我屠自古;奥野田美宵;宫出口瑞灵;堀川雷鼓;绵月依姬;高丽野阿吽;豫母都日狭美;宫古芳香;若鹭姬;姬虫百百世;日白残无;秋穰子;秋静叶;寅丸星;幽谷响子;天火人血枪;骊驹早鬼;黑谷山女;清兰;冴月麟;杖刀偶磨弓;豪德寺三花;丁礼田舞;九十九弁弁;爱塔妮缇拉尔瓦;三头慧之子;尔子田里乃;封兽魑魅;孙美天;铃瑚;铃仙二号;坂田合欢;矢田寺成美;九十九八桥;戎璎花;山城高岭;玉造魅须丸;依莉斯;琪斯美;驹草山如;矜羯罗;雪;牛崎润美;尘塚姥芽;幽幻魔眼;神玉;大鲶鱼;萨拉;菊理;咪咪号;嫦娥,7,0,7,59,露米娅;风见幽香;梦子;红美铃;藤原妹红;明罗;帕秋莉·诺蕾姬;艾丽;上白泽慧音;八云紫;魅魔;因幡天为（因幡帝）;爱莲;小恶魔;幻月;奥莲姬;爱丽丝·玛格特洛依德;舞;魂魄妖梦;琪露诺;北白河千百合;莉莉卡·普莉兹姆利巴;露易兹;橙;宇佐见莲子;桑尼米尔克;蕾米莉亚·斯卡蕾特;铃仙·优昙华院·因幡;大妖精;芙兰朵露·斯卡蕾特;冈崎梦美;蕾拉·普莉兹姆利巴;留琴;胡桃;梅露兰·普莉兹姆利巴;无名的读书妖怪（朱鹭子）;蓬莱山辉夜;梦月;斯塔萨菲雅;神绮;米斯蒂娅·萝蕾拉;露娜切露德;萨丽爱尔;八云蓝;魂魄妖忌;十六夜咲夜;卡娜·安娜贝拉尔;莉格露·奈特巴格;露娜萨·普莉兹姆利巴;八意永琳;森近霖之助;朝仓理香子;里香;莉莉霍瓦特（莉莉白）;伊吹萃香;蕾蒂·霍瓦特洛克;玛艾露贝莉·赫恩;玄爷;小兔姬,5,0,空白只表示当前精选表未收录旁证，不表示当年没有讨论；Niconico无角色点名的视频不能转换成逐角色覆盖。
jp,5,82,82,85,古明地恋;古明地觉;秦心;比那名居天子;多多良小伞;纯狐;灵乌路空;赫卡提亚·拉碧斯拉祖利;依神紫苑;鬼人正邪;丰聪耳神子;水桥帕露西;物部布都;稀神探女;饭纲丸龙;摩多罗隐岐奈;茨木华扇;火焰猫燐;饕餮尤魔;圣白莲;封兽鵺;天弓千亦;娜兹玲;哆来咪·苏伊特;道神驯子;埴安神袿姬;赤蛮奇;菅牧典;村纱水蜜;霍青娥;克劳恩皮丝;本居小铃;依神女苑;永江衣玖;姬海棠果;二岩猯藏;吉吊八千慧;今泉影狼;星熊勇仪;宇佐见堇子;庭渡久侘歌;少名针妙丸;苏我屠自古;奥野田美宵;宫出口瑞灵;堀川雷鼓;高丽野阿吽;豫母都日狭美;宫古芳香;若鹭姬;姬虫百百世;日白残无;寅丸星;幽谷响子;天火人血枪;骊驹早鬼;黑谷山女;清兰;冴月麟;杖刀偶磨弓;豪德寺三花;丁礼田舞;九十九弁弁;爱塔妮缇拉尔瓦;三头慧之子;尔子田里乃;封兽魑魅;孙美天;铃瑚;坂田合欢;矢田寺成美;九十九八桥;戎璎花;山城高岭;玉造魅须丸;依莉斯;琪斯美;驹草山如;牛崎润美;尘塚姥芽;幽幻魔眼;大鲶鱼;菊理;咪咪号;嫦娥,46,0,46,36,幻月;露娜切露德;八云蓝;铃仙二号;矜羯罗;朝仓理香子;玄爷;小兔姬;明罗;爱莲;奥莲姬;舞;桑尼米尔克;蕾拉·普莉兹姆利巴;留琴;神绮;梦子;萨拉;艾丽;魅魔;绵月丰姬;北白河千百合;露易兹;雪;胡桃;神玉;斯塔萨菲雅;魂魄妖忌;卡娜·安娜贝拉尔;里香;橙;冈崎梦美;无名的读书妖怪（朱鹭子）;绵月依姬;梦月;萨丽爱尔,4,0,空白只表示当前精选表未收录旁证，不表示当年没有讨论；Niconico无角色点名的视频不能转换成逐角色覆盖。
jp,6,95,95,72,秦心;多多良小伞;纯狐;赫卡提亚·拉碧斯拉祖利;依神紫苑;鬼人正邪;丰聪耳神子;物部布都;稀神探女;饭纲丸龙;摩多罗隐岐奈;茨木华扇;饕餮尤魔;圣白莲;封兽鵺;天弓千亦;娜兹玲;哆来咪·苏伊特;道神驯子;埴安神袿姬;赤蛮奇;菅牧典;村纱水蜜;霍青娥;克劳恩皮丝;本居小铃;依神女苑;姬海棠果;二岩猯藏;吉吊八千慧;今泉影狼;宇佐见堇子;庭渡久侘歌;少名针妙丸;苏我屠自古;奥野田美宵;宫出口瑞灵;堀川雷鼓;高丽野阿吽;豫母都日狭美;宫古芳香;若鹭姬;姬虫百百世;日白残无;寅丸星;幽谷响子;天火人血枪;骊驹早鬼;清兰;冴月麟;杖刀偶磨弓;豪德寺三花;丁礼田舞;九十九弁弁;爱塔妮缇拉尔瓦;三头慧之子;尔子田里乃;封兽魑魅;孙美天;铃瑚;坂田合欢;矢田寺成美;九十九八桥;戎璎花;山城高岭;玉造魅须丸;驹草山如;牛崎润美;尘塚姥芽;大鲶鱼;咪咪号;嫦娥,51,0,51,44,幽幻魔眼;幻月;依莉斯;水桥帕露西;露娜切露德;八云蓝;铃仙二号;矜羯罗;朝仓理香子;玄爷;小兔姬;明罗;爱莲;奥莲姬;舞;桑尼米尔克;蕾拉·普莉兹姆利巴;留琴;神绮;琪斯美;梦子;灵乌路空;萨拉;星熊勇仪;艾丽;魅魔;绵月丰姬;北白河千百合;露易兹;雪;黑谷山女;胡桃;神玉;斯塔萨菲雅;魂魄妖忌;卡娜·安娜贝拉尔;里香;菊理;橙;冈崎梦美;无名的读书妖怪（朱鹭子）;绵月依姬;梦月;萨丽爱尔,4,0,空白只表示当前精选表未收录旁证，不表示当年没有讨论；Niconico无角色点名的视频不能转换成逐角色覆盖。
jp,7,103,103,64,秦心;纯狐;赫卡提亚·拉碧斯拉祖利;依神紫苑;鬼人正邪;丰聪耳神子;物部布都;稀神探女;饭纲丸龙;摩多罗隐岐奈;茨木华扇;饕餮尤魔;天弓千亦;哆来咪·苏伊特;道神驯子;埴安神袿姬;赤蛮奇;菅牧典;霍青娥;克劳恩皮丝;本居小铃;依神女苑;姬海棠果;二岩猯藏;吉吊八千慧;今泉影狼;宇佐见堇子;庭渡久侘歌;少名针妙丸;苏我屠自古;奥野田美宵;宫出口瑞灵;堀川雷鼓;高丽野阿吽;豫母都日狭美;宫古芳香;若鹭姬;姬虫百百世;日白残无;幽谷响子;天火人血枪;骊驹早鬼;清兰;冴月麟;杖刀偶磨弓;豪德寺三花;丁礼田舞;九十九弁弁;爱塔妮缇拉尔瓦;三头慧之子;尔子田里乃;封兽魑魅;孙美天;铃瑚;坂田合欢;矢田寺成美;九十九八桥;戎璎花;山城高岭;玉造魅须丸;驹草山如;牛崎润美;尘塚姥芽;嫦娥,32,1,32,71,幽幻魔眼;幻月;雾雨魔理沙;琪露诺;依莉斯;大鲶鱼;水桥帕露西;露娜切露德;八云蓝;铃仙二号;多多良小伞;寅丸星;矜羯罗;朝仓理香子;玄爷;伊吹萃香;小兔姬;梅蒂欣·梅兰可莉;明罗;爱莲;奥莲姬;舞;桑尼米尔克;村纱水蜜;芙兰朵露·斯卡蕾特;蕾拉·普莉兹姆利巴;留琴;梅露兰·普莉兹姆利巴;神绮;十六夜咲夜;琪斯美;露娜萨·普莉兹姆利巴;梦子;灵乌路空;萨拉;红美铃;圣白莲;星熊勇仪;艾丽;魅魔;因幡天为（因幡帝）;小恶魔;绵月丰姬;博丽灵梦;北白河千百合;莉莉卡·普莉兹姆利巴;露易兹;雪;宇佐见莲子;大妖精;黑谷山女;胡桃;神玉;斯塔萨菲雅;魂魄妖忌;卡娜·安娜贝拉尔;莉格露·奈特巴格;里香;玛艾露贝莉·赫恩;上白泽慧音;菊理;橙;冈崎梦美;无名的读书妖怪（朱鹭子）;绵月依姬;蓬莱山辉夜;梦月;萨丽爱尔;稗田阿求;咪咪号;莉莉霍瓦特（莉莉白）,4,0,空白只表示当前精选表未收录旁证，不表示当年没有讨论；Niconico无角色点名的视频不能转换成逐角色覆盖。
jp,8,105,105,62,秦心;纯狐;赫卡提亚·拉碧斯拉祖利;依神紫苑;鬼人正邪;丰聪耳神子;物部布都;稀神探女;饭纲丸龙;摩多罗隐岐奈;饕餮尤魔;天弓千亦;哆来咪·苏伊特;道神驯子;埴安神袿姬;赤蛮奇;菅牧典;霍青娥;克劳恩皮丝;本居小铃;依神女苑;二岩猯藏;吉吊八千慧;今泉影狼;宇佐见堇子;庭渡久侘歌;少名针妙丸;苏我屠自古;奥野田美宵;宫出口瑞灵;堀川雷鼓;高丽野阿吽;豫母都日狭美;宫古芳香;若鹭姬;姬虫百百世;日白残无;幽谷响子;天火人血枪;骊驹早鬼;清兰;冴月麟;杖刀偶磨弓;豪德寺三花;丁礼田舞;九十九弁弁;爱塔妮缇拉尔瓦;三头慧之子;尔子田里乃;封兽魑魅;孙美天;铃瑚;坂田合欢;矢田寺成美;九十九八桥;戎璎花;山城高岭;玉造魅须丸;驹草山如;牛崎润美;尘塚姥芽;嫦娥,34,1,34,71,露米娅;帕秋莉·诺蕾姬;幽幻魔眼;幻月;键山雏;比那名居天子;爱丽丝·玛格特洛依德;琪露诺;依莉斯;大鲶鱼;水桥帕露西;小野塚小町;八云蓝;铃仙二号;寅丸星;矜羯罗;朝仓理香子;玄爷;伊吹萃香;小兔姬;梅蒂欣·梅兰可莉;明罗;西行寺幽幽子;爱莲;姬海棠果;奥莲姬;舞;桑尼米尔克;蕾米莉亚·斯卡蕾特;村纱水蜜;芙兰朵露·斯卡蕾特;蕾拉·普莉兹姆利巴;留琴;梅露兰·普莉兹姆利巴;火焰猫燐;神绮;十六夜咲夜;琪斯美;露娜萨·普莉兹姆利巴;森近霖之助;梦子;灵乌路空;萨拉;红美铃;星熊勇仪;艾丽;魅魔;因幡天为（因幡帝）;博丽灵梦;北白河千百合;露易兹;雪;胡桃;神玉;斯塔萨菲雅;魂魄妖忌;卡娜·安娜贝拉尔;莉格露·奈特巴格;八意永琳;里香;永江衣玖;上白泽慧音;菊理;橙;冈崎梦美;蓬莱山辉夜;梦月;萨丽爱尔;米斯蒂娅·萝蕾拉;咪咪号;蕾蒂·霍瓦特洛克,4,0,空白只表示当前精选表未收录旁证，不表示当年没有讨论；Niconico无角色点名的视频不能转换成逐角色覆盖。
jp,9,112,112,55,秦心;纯狐;赫卡提亚·拉碧斯拉祖利;依神紫苑;鬼人正邪;稀神探女;饭纲丸龙;摩多罗隐岐奈;饕餮尤魔;天弓千亦;哆来咪·苏伊特;道神驯子;埴安神袿姬;赤蛮奇;菅牧典;克劳恩皮丝;本居小铃;依神女苑;吉吊八千慧;今泉影狼;宇佐见堇子;庭渡久侘歌;少名针妙丸;奥野田美宵;宫出口瑞灵;堀川雷鼓;高丽野阿吽;豫母都日狭美;若鹭姬;姬虫百百世;日白残无;天火人血枪;骊驹早鬼;清兰;冴月麟;杖刀偶磨弓;豪德寺三花;丁礼田舞;九十九弁弁;爱塔妮缇拉尔瓦;三头慧之子;尔子田里乃;封兽魑魅;孙美天;铃瑚;坂田合欢;矢田寺成美;九十九八桥;戎璎花;山城高岭;玉造魅须丸;驹草山如;牛崎润美;尘塚姥芽;嫦娥,42,2,42,70,帕秋莉·诺蕾姬;幽幻魔眼;幻月;键山雏;比那名居天子;琪露诺;依莉斯;大鲶鱼;水桥帕露西;小野塚小町;八云蓝;铃仙二号;矜羯罗;朝仓理香子;玄爷;苏我屠自古;小兔姬;梅蒂欣·梅兰可莉;明罗;西行寺幽幽子;爱莲;奥莲姬;舞;桑尼米尔克;蕾米莉亚·斯卡蕾特;村纱水蜜;芙兰朵露·斯卡蕾特;封兽鵺;蕾拉·普莉兹姆利巴;留琴;梅露兰·普莉兹姆利巴;火焰猫燐;神绮;十六夜咲夜;琪斯美;露娜萨·普莉兹姆利巴;梦子;灵乌路空;萨拉;红美铃;星熊勇仪;艾丽;魅魔;因幡天为（因幡帝）;幽谷响子;古明地觉;博丽灵梦;北白河千百合;露易兹;雪;胡桃;神玉;斯塔萨菲雅;魂魄妖忌;卡娜·安娜贝拉尔;莉格露·奈特巴格;二岩猯藏;里香;永江衣玖;上白泽慧音;菊理;橙;宫古芳香;冈崎梦美;蓬莱山辉夜;梦月;萨丽爱尔;米斯蒂娅·萝蕾拉;咪咪号;蕾蒂·霍瓦特洛克,4,0,空白只表示当前精选表未收录旁证，不表示当年没有讨论；Niconico无角色点名的视频不能转换成逐角色覆盖。
jp,10,122,122,45,纯狐;赫卡提亚·拉碧斯拉祖利;依神紫苑;稀神探女;饭纲丸龙;摩多罗隐岐奈;饕餮尤魔;天弓千亦;哆来咪·苏伊特;道神驯子;埴安神袿姬;菅牧典;克劳恩皮丝;依神女苑;吉吊八千慧;宇佐见堇子;庭渡久侘歌;奥野田美宵;宫出口瑞灵;高丽野阿吽;豫母都日狭美;姬虫百百世;日白残无;天火人血枪;骊驹早鬼;清兰;冴月麟;杖刀偶磨弓;豪德寺三花;丁礼田舞;爱塔妮缇拉尔瓦;三头慧之子;尔子田里乃;封兽魑魅;孙美天;铃瑚;坂田合欢;矢田寺成美;戎璎花;山城高岭;玉造魅须丸;驹草山如;牛崎润美;尘塚姥芽;嫦娥,20,0,20,102,帕秋莉·诺蕾姬;幽幻魔眼;幻月;键山雏;比那名居天子;雾雨魔理沙;射命丸文;琪露诺;依莉斯;大鲶鱼;秋静叶;露娜切露德;小野塚小町;八云蓝;铃仙二号;多多良小伞;矜羯罗;朝仓理香子;玄爷;苏我屠自古;小兔姬;梅蒂欣·梅兰可莉;风见幽香;明罗;西行寺幽幽子;爱莲;奥莲姬;舞;古明地恋;堀川雷鼓;桑尼米尔克;四季映姬·夜摩仙那度;蕾米莉亚·斯卡蕾特;村纱水蜜;芙兰朵露·斯卡蕾特;封兽鵺;蕾拉·普莉兹姆利巴;留琴;梅露兰·普莉兹姆利巴;火焰猫燐;神绮;十六夜咲夜;琪斯美;露娜萨·普莉兹姆利巴;本居小铃;今泉影狼;梦子;灵乌路空;萨拉;红美铃;圣白莲;星熊勇仪;艾丽;魅魔;因幡天为（因幡帝）;小恶魔;幽谷响子;古明地觉;绵月丰姬;博丽灵梦;秦心;北白河千百合;莉莉卡·普莉兹姆利巴;露易兹;雪;铃仙·优昙华院·因幡;大妖精;黑谷山女;胡桃;神玉;八坂神奈子;斯塔萨菲雅;魂魄妖忌;卡娜·安娜贝拉尔;莉格露·奈特巴格;二岩猯藏;里香;玛艾露贝莉·赫恩;永江衣玖;九十九八桥;洩矢诹访子;九十九弁弁;上白泽慧音;若鹭姬;菊理;河城荷取;橙;宫古芳香;秋穰子;冈崎梦美;赤蛮奇;无名的读书妖怪（朱鹭子）;绵月依姬;蓬莱山辉夜;梦月;萨丽爱尔;米斯蒂娅·萝蕾拉;稗田阿求;咪咪号;莉莉霍瓦特（莉莉白）;蕾蒂·霍瓦特洛克;少名针妙丸,4,0,空白只表示当前精选表未收录旁证，不表示当年没有讨论；Niconico无角色点名的视频不能转换成逐角色覆盖。
jp,11,123,123,44,纯狐;赫卡提亚·拉碧斯拉祖利;依神紫苑;稀神探女;饭纲丸龙;摩多罗隐岐奈;饕餮尤魔;天弓千亦;哆来咪·苏伊特;道神驯子;埴安神袿姬;菅牧典;克劳恩皮丝;依神女苑;吉吊八千慧;庭渡久侘歌;奥野田美宵;宫出口瑞灵;高丽野阿吽;豫母都日狭美;姬虫百百世;日白残无;天火人血枪;骊驹早鬼;清兰;冴月麟;杖刀偶磨弓;豪德寺三花;丁礼田舞;爱塔妮缇拉尔瓦;三头慧之子;尔子田里乃;封兽魑魅;孙美天;铃瑚;坂田合欢;矢田寺成美;戎璎花;山城高岭;玉造魅须丸;驹草山如;牛崎润美;尘塚姥芽;嫦娥,4,2,4,119,露米娅;霍青娥;帕秋莉·诺蕾姬;幽幻魔眼;幻月;键山雏;比那名居天子;雾雨魔理沙;爱丽丝·玛格特洛依德;魂魄妖梦;射命丸文;琪露诺;娜兹玲;依莉斯;大鲶鱼;秋静叶;露娜切露德;小野塚小町;八云蓝;铃仙二号;多多良小伞;寅丸星;矜羯罗;朝仓理香子;玄爷;伊吹萃香;苏我屠自古;小兔姬;梅蒂欣·梅兰可莉;风见幽香;明罗;西行寺幽幽子;爱莲;姬海棠果;奥莲姬;舞;古明地恋;东风谷早苗;堀川雷鼓;桑尼米尔克;四季映姬·夜摩仙那度;蕾米莉亚·斯卡蕾特;村纱水蜜;芙兰朵露·斯卡蕾特;封兽鵺;蕾拉·普莉兹姆利巴;留琴;梅露兰·普莉兹姆利巴;火焰猫燐;神绮;十六夜咲夜;琪斯美;露娜萨·普莉兹姆利巴;森近霖之助;本居小铃;今泉影狼;茨木华扇;梦子;灵乌路空;萨拉;红美铃;圣白莲;星熊勇仪;艾丽;魅魔;因幡天为（因幡帝）;小恶魔;幽谷响子;古明地觉;绵月丰姬;博丽灵梦;秦心;北白河千百合;莉莉卡·普莉兹姆利巴;露易兹;雪;铃仙·优昙华院·因幡;大妖精;黑谷山女;胡桃;神玉;八坂神奈子;斯塔萨菲雅;魂魄妖忌;犬走椛;卡娜·安娜贝拉尔;莉格露·奈特巴格;二岩猯藏;八意永琳;里香;玛艾露贝莉·赫恩;永江衣玖;九十九八桥;洩矢诹访子;九十九弁弁;上白泽慧音;若鹭姬;八云紫;菊理;河城荷取;橙;宫古芳香;秋穰子;冈崎梦美;物部布都;赤蛮奇;无名的读书妖怪（朱鹭子）;绵月依姬;丰聪耳神子;蓬莱山辉夜;梦月;萨丽爱尔;米斯蒂娅·萝蕾拉;宇佐见堇子;稗田阿求;咪咪号;莉莉霍瓦特（莉莉白）;蕾蒂·霍瓦特洛克;少名针妙丸,7,0,空白只表示当前精选表未收录旁证，不表示当年没有讨论；Niconico无角色点名的视频不能转换成逐角色覆盖。
cn,1,113,113,54,秦心;纯狐;赫卡提亚·拉碧斯拉祖利;依神紫苑;鬼人正邪;稀神探女;饭纲丸龙;摩多罗隐岐奈;饕餮尤魔;天弓千亦;哆来咪·苏伊特;道神驯子;埴安神袿姬;赤蛮奇;菅牧典;克劳恩皮丝;本居小铃;依神女苑;吉吊八千慧;今泉影狼;宇佐见堇子;庭渡久侘歌;少名针妙丸;奥野田美宵;宫出口瑞灵;堀川雷鼓;高丽野阿吽;豫母都日狭美;若鹭姬;姬虫百百世;日白残无;天火人血枪;骊驹早鬼;清兰;杖刀偶磨弓;豪德寺三花;丁礼田舞;九十九弁弁;爱塔妮缇拉尔瓦;三头慧之子;尔子田里乃;封兽魑魅;孙美天;铃瑚;坂田合欢;矢田寺成美;九十九八桥;戎璎花;山城高岭;玉造魅须丸;驹草山如;牛崎润美;尘塚姥芽;嫦娥,0,0,0,113,露米娅;霍青娥;帕秋莉·诺蕾姬;幽幻魔眼;幻月;键山雏;比那名居天子;雾雨魔理沙;爱丽丝·玛格特洛依德;魂魄妖梦;射命丸文;琪露诺;娜兹玲;依莉斯;大鲶鱼;秋静叶;水桥帕露西;露娜切露德;小野塚小町;八云蓝;铃仙二号;多多良小伞;寅丸星;矜羯罗;朝仓理香子;玄爷;伊吹萃香;苏我屠自古;小兔姬;梅蒂欣·梅兰可莉;风见幽香;明罗;西行寺幽幽子;爱莲;姬海棠果;奥莲姬;舞;古明地恋;东风谷早苗;冴月麟;四季映姬·夜摩仙那度;桑尼米尔克;蕾米莉亚·斯卡蕾特;村纱水蜜;芙兰朵露·斯卡蕾特;封兽鵺;蕾拉·普莉兹姆利巴;留琴;梅露兰·普莉兹姆利巴;火焰猫燐;神绮;十六夜咲夜;琪斯美;露娜萨·普莉兹姆利巴;森近霖之助;茨木华扇;梦子;灵乌路空;萨拉;红美铃;圣白莲;星熊勇仪;艾丽;魅魔;因幡天为（因幡帝）;小恶魔;幽谷响子;古明地觉;绵月丰姬;博丽灵梦;北白河千百合;莉莉卡·普莉兹姆利巴;露易兹;雪;宇佐见莲子;铃仙·优昙华院·因幡;大妖精;黑谷山女;胡桃;神玉;八坂神奈子;斯塔萨菲雅;魂魄妖忌;犬走椛;卡娜·安娜贝拉尔;莉格露·奈特巴格;二岩猯藏;八意永琳;里香;玛艾露贝莉·赫恩;永江衣玖;洩矢诹访子;藤原妹红;上白泽慧音;八云紫;菊理;河城荷取;橙;宫古芳香;秋穰子;冈崎梦美;物部布都;无名的读书妖怪（朱鹭子）;绵月依姬;丰聪耳神子;蓬莱山辉夜;梦月;萨丽爱尔;米斯蒂娅·萝蕾拉;稗田阿求;咪咪号;莉莉霍瓦特（莉莉白）;蕾蒂·霍瓦特洛克,,,空白只表示当前精选表未收录旁证，不表示当年没有讨论；Niconico无角色点名的视频不能转换成逐角色覆盖。
